,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset,cohdate,regentime
1,C200,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,,
2,C100,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,,
3,C50,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,,
4,C25,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,,
5,C12,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,,
6,C6,M,O,,1,P,,conc,Luke,FALSE,O,ok,NA,phaw_1,,
7,CIA,M,O,,1,I,,conc,Luke,FALSE,O,ok,NA,phaw_1,,
8,CIB,M,O,,1,I,,conc,Luke,FALSE,O,ok,NA,phaw_1,,
9,FYA,F,Y,,1,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
10,FOA,F,O,,1,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
11,MYA,M,Y,,1,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
12,MOA,M,O,,1,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
13,FYB,F,Y,,2,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
14,FOB,F,O,,2,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
15,MYB,M,Y,,2,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
16,MOB,M,O,,2,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
17,MOIA,M,O,,2,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
18,MOIB,M,O,,2,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
19,MOIC,M,O,,2,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
20,MOID,M,O,,2,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
21,CS1X,M,O,,2,I,,cut,Luke,FALSE,O,ok,NA,phaw_1,,
22,CS0.5X,M,O,,2,I,,cut,Luke,FALSE,O,ok,NA,phaw_1,,
23,CS0.25XA,M,O,,2,I,,cut,Luke,TRUE,O,ok,NA,phaw_1,,
24,CS0.25XB,M,O,,2,I,,cut,Luke,TRUE,O,ok,NA,phaw_1,,
25,O1a,F,O,,3,P,,OvY,Nikos,TRUE,O,bad,NA,phaw_1,,
26,O2a,F,O,,3,P,,OvY,Nikos,FALSE,O,ok,NA,phaw_1,,
27,Y1a,F,Y,,3,P,,OvY,Nikos,FALSE,Y,ok,NA,phaw_1,,
28,Y2a,F,Y,,3,P,,OvY,Nikos,FALSE,Y,ok,NA,phaw_1,,
29,OR1a,F,O,R,3,P,,regen,Nikos,FALSE,OR,ok,NA,phaw_1,,
30,OR2a,F,O,R,3,P,,regen,Nikos,FALSE,OR,ok,NA,phaw_1,,
31,YR1a,F,Y,R,3,P,,regen,Nikos,TRUE,YR,bad,NA,phaw_1,,
32,YR2a,F,Y,R,3,P,,regen,Nikos,TRUE,YR,bad,NA,phaw_1,,
33,FY5a,F,Y,,3,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
34,FY6a,F,Y,,3,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
35,FO5a,F,O,,3,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
36,FO7a,F,O,,3,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
37,O1b,F,O,,4,P,,OvY,Nikos,FALSE,O,ok,NA,phaw_1,,
38,O2b,F,O,,4,P,,OvY,Nikos,FALSE,O,ok,NA,phaw_1,,
39,Y1b,F,Y,,4,P,,OvY,Nikos,FALSE,Y,ok,NA,phaw_1,,
40,Y2b,F,Y,,4,P,,OvY,Nikos,FALSE,Y,ok,NA,phaw_1,,
41,OR1b,F,O,R,4,P,,regen,Nikos,FALSE,OR,ok,NA,phaw_1,,
42,OR2b,F,O,R,4,P,,regen,Nikos,FALSE,OR,ok,NA,phaw_1,,
43,YR1b,F,Y,R,4,P,,regen,Nikos,FALSE,YR,ok,NA,phaw_1,,
44,YR2b,F,Y,R,4,P,,regen,Nikos,FALSE,YR,ok,NA,phaw_1,,
45,FY7,F,Y,,4,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
46,FY8,F,Y,,4,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
47,FO8,F,O,,4,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
48,FO9,F,O,,4,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
49,SFPA,F,Y,,5,P,,OvY,Luke,FALSE,Y,bad,5.3,phaw_1,,
50,SFPB,F,Y,,5,P,,OvY,Luke,FALSE,Y,ok,3.9,phaw_1,,
51,LFPA,F,O,,5,P,,OvY,Luke,FALSE,O,ok,6.8,phaw_1,,
52,LFPB,F,O,,5,P,,OvY,Luke,FALSE,O,ok,7.4,phaw_1,,
53,SMPA,M,Y,,5,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
54,SMPB,M,Y,,5,P,,OvY,Luke,TRUE,Y,bad,NA,phaw_1,,
55,LMPA,M,O,,5,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
56,LMPB,M,O,,5,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
57,LMIA,M,O,,5,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
58,LMIB,M,O,,5,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
59,LMIC,M,O,,5,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
60,LMID,M,O,,5,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
61,Abef,F,O,,6,P,,regen,Luke,FALSE,O,ok,7,phaw_1,,
62,Aun,F,O,,6,P,,regen,Luke,FALSE,O,ok,7,phaw_1,,
63,Areg,F,O,R,6,P,,regen,Luke,FALSE,OR,ok,7,phaw_1,,4
64,Bbef,F,O,,6,P,,regen,Luke,FALSE,O,ok,6.8,phaw_1,,
65,Bun,F,O,,6,P,,regen,Luke,FALSE,O,ok,6.8,phaw_1,,
66,Breg,F,O,R,6,P,,regen,Luke,FALSE,OR,ok,6.8,phaw_1,,4
67,Cbef,F,O,,6,P,,regen,Luke,FALSE,O,bad,7,phaw_1,,
68,Cun,F,O,,6,P,,regen,Luke,FALSE,O,ok,7,phaw_1,,
69,Creg,F,O,R,6,P,,regen,Luke,FALSE,OR,ok,7,phaw_1,,4
70,Dbef,F,O,,6,P,,regen,Luke,FALSE,O,ok,6.9,phaw_1,,
71,Dun,F,O,,6,P,,regen,Luke,FALSE,O,ok,6.9,phaw_1,,
72,Dreg,F,O,R,6,P,,regen,Luke,FALSE,OR,ok,6.9,phaw_1,,4
73,SFPC,F,Y,,7,P,,OvY,Luke,FALSE,Y,ok,4.5,phaw_1,,
74,SFPD,F,Y,,7,P,,OvY,Luke,FALSE,Y,ok,4.1,phaw_1,,
75,LFPC,F,O,,7,P,,OvY,Luke,FALSE,O,ok,7.2,phaw_1,,
76,LFPD,F,O,,7,P,,OvY,Luke,FALSE,O,bad,7.3,phaw_1,,
77,SMPC,M,Y,,7,P,,OvY,Luke,FALSE,Y,ok,NA,phaw_1,,
78,SMPD,M,Y,,7,P,,OvY,Luke,TRUE,Y,ok,NA,phaw_1,,
79,LMPC,M,O,,7,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
80,LMPD,M,O,,7,P,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
81,0mPA,F,N,,7,P,0,moult,Luke,FALSE,N,ok,NA,phaw_1,,
82,0mPB,F,N,,7,P,0,moult,Luke,FALSE,N,ok,NA,phaw_1,,
83,10mPA,F,N,,7,P,10,moult,Luke,FALSE,N,ok,NA,phaw_1,,
84,20mPA,F,N,,7,P,20,moult,Luke,FALSE,N,ok,NA,phaw_1,,
85,Ebef,F,O,,8,P,,regen,Luke,FALSE,O,ok,NA,phaw_1,,
86,Eun,F,O,,8,P,,regen,Luke,FALSE,O,ok,7,phaw_1,,
87,Ereg,F,O,R,8,P,,regen,Luke,FALSE,OR,ok,7,phaw_1,,4
88,Fbef,F,O,,8,I,,regen,Luke,FALSE,O,ok,NA,phaw_1,,
89,Fun,F,O,,8,I,,regen,Luke,FALSE,O,ok,6.7,phaw_1,,
90,Freg,F,O,R,8,I,,regen,Luke,TRUE,OR,bad,6.7,phaw_1,,4
91,Gbef,F,O,,8,I,,regen,Luke,FALSE,O,ok,NA,phaw_1,,
92,Gun,F,O,,8,I,,regen,Luke,FALSE,O,ok,7.1,phaw_1,,
93,Greg,F,O,R,8,I,,regen,Luke,FALSE,OR,ok,7.1,phaw_1,,4
94,LFIA,F,O,,8,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
95,LFIB,F,O,,8,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
96,20mPB,F,N,,8,P,20,moult,Luke,FALSE,N,ok,NA,phaw_1,,
97,LFIC,F,O,,9,I,,OvY,Luke,TRUE,O,ok,NA,phaw_1,,
98,LFID,F,O,,9,I,,OvY,Luke,FALSE,O,ok,NA,phaw_1,,
99,OmID,F,N,,9,I,0,moult,Luke,FALSE,N,ok,NA,phaw_1,,
100,10mIA,F,N,,9,I,10,moult,Luke,FALSE,N,ok,NA,phaw_1,,
101,n,F,N,,9,I,,moult,Luke,TRUE,N,bad,NA,phaw_1,,
102,20mIC,F,N,,9,I,20,moult,Luke,FALSE,N,ok,NA,phaw_1,,
103,Ibef,F,O,,9,I,,regen,Luke,FALSE,O,ok,NA,phaw_1,,
104,Iun,F,O,,9,I,,regen,Luke,FALSE,O,bad,NA,phaw_1,,
105,Ireg,F,O,R,9,I,,regen,Luke,FALSE,OR,ok,NA,phaw_1,,7
106,Kbef,F,O,,9,I,,regen,Luke,FALSE,O,ok,NA,phaw_1,,
107,Kun,F,O,,9,I,,regen,Luke,FALSE,O,bad,NA,phaw_1,,
108,Kreg,F,O,R,9,I,,regen,Luke,FALSE,OR,ok,NA,phaw_1,,7
109,A,F,O,,10,P,,Size-age,Luke,FALSE,O,bad,7.25,phaw_1,,
110,B,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,7.25,phaw_1,,
111,C,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,8.25,phaw_1,,
112,D,F,Y,,10,P,,Size-age,Luke,FALSE,Y,ok,5.75,phaw_1,,
113,E,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,7.5,phaw_1,,
114,F,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,7.75,phaw_1,,
115,G,F,M,,10,P,,Size-age,Luke,FALSE,M,ok,6.25,phaw_1,,
116,H,F,O,,10,P,,Size-age,Luke,FALSE,O,ok,7.75,phaw_1,,
117,I,F,M,,10,P,,Size-age,Luke,FALSE,M,ok,6.5,phaw_1,,
118,J,F,Y,,10,P,,Size-age,Luke,FALSE,Y,ok,4.75,phaw_1,,
119,K,F,Y,,10,P,,Size-age,Luke,FALSE,Y,ok,5.5,phaw_1,,
120,L,F,M,,10,P,,Size-age,Luke,FALSE,M,ok,6.25,phaw_1,,
121,Xreg,F,O,R,11,I,,regen,Luke,FALSE,OR,ok,7.5,phaw_1,,7
122,Xun,F,O,,11,I,,regen,Luke,FALSE,O,bad,7.5,phaw_1,,
123,Mreg,F,O,R,11,I,,regen,Luke,TRUE,OR,bad,7,phaw_1,,7
124,Mun,F,O,,11,I,,regen,Luke,FALSE,O,ok,7,phaw_1,,
125,Nreg,F,O,R,11,I,,regen,Luke,FALSE,OR,?,7.5,phaw_1,,7
126,Nun,F,O,,11,I,,regen,Luke,FALSE,O,?,7.5,phaw_1,,
127,Oreg,F,O,R,11,I,,regen,Luke,FALSE,OR,?,6.5,phaw_1,,7
128,Oun,F,O,,11,I,,regen,Luke,FALSE,O,?,6.5,phaw_1,,
129,M,F,M,,11,P,,Size-age,Luke,FALSE,M,ok,5.6,phaw_1,,
130,N,F,M,,11,P,,Size-age,Luke,FALSE,M,ok,5.9,phaw_1,,
131,O,F,Y,,11,P,,Size-age,Luke,FALSE,Y,?,5.3,phaw_1,,
132,P,F,O,,11,P,,Size-age,Luke,FALSE,O,?,6.4,phaw_1,,
133,Q,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.3,phaw_1,,
134,R,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,,
135,S,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,4.2,phaw_1,,
136,T,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,3.8,phaw_1,,
137,U,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.35,phaw_1,,
138,V,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.9,phaw_1,,
139,W,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.8,phaw_1,,
140,X,F,O,,12,P,,Size-age,Luke,FALSE,O,?,7.3,phaw_1,,
141,Y,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.2,phaw_1,,
142,Z,F,Y,,12,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,,
143,AA,F,M,,12,P,,Size-age,Luke,FALSE,M,?,6.6,phaw_1,,
144,AB,F,O,,12,P,,Size-age,Luke,TRUE,O,?,7.2,phaw_1,,
145,Preg,F,O,R,13,I,,regen,Luke,FALSE,OR,?,6.5,phaw_1,,7
146,Pun,F,O,,13,I,,regen,Luke,FALSE,O,?,6.5,phaw_1,,
147,Qreg,F,M,R,13,P,,regen,Luke,FALSE,MR,?,6.2,phaw_1,,7
148,Qun,F,M,,13,P,,regen,Luke,FALSE,M,?,6.2,phaw_1,,
149,Rreg,F,Y,R,13,P,,regen,Luke,FALSE,YR,?,5.6,phaw_1,,7
150,Run,F,Y,,13,P,,regen,Luke,FALSE,Y,?,5.6,phaw_1,,
151,Coh1,F,O,,13,I,,cohorts,Luke,FALSE,O,?,7.6,phaw_1,21/08/2017,
152,Coh2,F,O,,13,I,,cohorts,Luke,FALSE,O,?,7,phaw_1,11/09/2017,
153,Coh3,F,M,,13,I,,cohorts,Luke,FALSE,M,?,6.2,phaw_1,08/09/2017,
154,Coh4,F,M,,13,I,,cohorts,Luke,FALSE,M,?,6.1,phaw_1,15/10/2017,
155,Coh5,F,Y,,13,I,,cohorts,Luke,FALSE,Y,?,5.9,phaw_1,15/10/2017,
156,Coh6,F,Y,,13,I,,cohorts,Luke,FALSE,Y,?,5.9,phaw_1,15/10/2017,
157,Coh7,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,5.1,phaw_1,19/02/2018,
158,Coh8,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.1,phaw_1,19/02/2018,
159,Coh9,F,O,,14,I,,cohorts,Luke,FALSE,O,?,9.1,phaw_1,20/10/2016,
160,Coh10,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.8,phaw_1,23/01/2018,
161,Coh11,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4,phaw_1,23/02/2018,
162,Coh12,F,Y,,14,I,,cohorts,Luke,FALSE,Y,?,4.1,phaw_1,23/02/2018,
163,Coh13,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.5,phaw_1,10/04/2017,
164,Coh14,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.9,phaw_1,21/12/2016,
165,Coh15,F,O,,14,I,,cohorts,Luke,FALSE,O,?,8.5,phaw_1,03/04/2017,
166,AC,F,Y,,14,P,,Size-age,Luke,FALSE,Y,?,5.8,phaw_1,,
167,AD,F,O,,14,P,,Size-age,Luke,FALSE,O,?,8.5,phaw_1,,
168,AE,F,O,,14,P,,Size-age,Luke,FALSE,O,?,7.5,phaw_1,,
169,AF,F,Y,,15,P,,Size-age,Luke,FALSE,Y,?,4.5,phaw_2,,
170,AG,F,O,,15,P,,Size-age,Luke,FALSE,O,?,8.2,phaw_2,,
171,AH,F,O,,15,P,,Size-age,Luke,FALSE,O,?,7.4,phaw_2,,
172,AI,F,O,,15,P,,Size-age,Luke,FALSE,O,?,7.4,phaw_2,,
173,Sreg,F,M,R,15,P,,regen,Luke,FALSE,MR,?,6.1,phaw_2,,7
174,Sun,F,M,,15,P,,regen,Luke,FALSE,M,?,6.1,phaw_2,,
175,Treg,F,Y,R,15,P,,regen,Luke,FALSE,YR,?,5.3,phaw_2,,7
176,Tun,F,Y,,15,P,,regen,Luke,FALSE,Y,?,5.3,phaw_2,,
177,PAreg,F,O,R-A,15,I,,regen-long,Luke,FALSE,OR-A,?,7.5,phaw_2,,13
178,PAun,F,O,,15,I,,regen-long,Luke,FALSE,O,?,7.5,phaw_2,,
179,PBreg,F,O,R-A,15,I,,regen-long,Luke,FALSE,OR-A,?,7.5,phaw_2,,13
180,PBun,F,O,,15,I,,regen-long,Luke,FALSE,O,?,7.5,phaw_2,,
