,N,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset
1,181,BA,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.3,phaw_2
2,182,BB,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.1,phaw_2
3,183,BC,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.5,phaw_2
4,184,BD,F,O,,16,I,,Size-age,Luke,FALSE,O,?,9,phaw_2
5,185,BE,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.4,phaw_2
6,186,BF,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.6,phaw_2
7,187,BG,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.3,phaw_2
8,188,BH,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8,phaw_2
9,189,BI,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.2,phaw_2
10,190,BJ,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.1,phaw_2
11,191,BK,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.5,phaw_2
12,192,BL,F,O,,16,I,,Size-age,Luke,FALSE,O,?,8.7,phaw_2
13,193,BM,F,O,,17,,,Size-age,Luke,FALSE,O,?,7.9,phaw_2
14,194,BN,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.3,phaw_2
15,195,BO,F,O,,17,,,Size-age,Luke,FALSE,O,?,9,phaw_2
16,196,BP,F,O,,17,,,Size-age,Luke,FALSE,O,?,7.7,phaw_2
17,197,BR,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.3,phaw_2
18,198,BS,F,O,,17,,,Size-age,Luke,FALSE,O,?,8.6,phaw_2
19,199,BT,F,O,,17,,,Size-age,Luke,FALSE,O,?,9.6,phaw_2
20,200,BU,F,O,,17,,,Size-age,Luke,FALSE,O,?,7.8,phaw_2
21,201,LAun,F,O,,17,,,regen-long,Luke,FALSE,O,?,7.2,phaw_2
22,202,LAreg,F,O,R-A,17,,,regen-long,Luke,FALSE,OR-A,?,7.2,phaw_2
23,203,LBun,F,O,,17,,,regen-long,Luke,FALSE,O,?,7.2,phaw_2
24,204,LBreg,F,O,R-A,17,,,regen-long,Luke,FALSE,OR-A,?,7.2,phaw_2
25,205,LCun,F,O,,18,,,regen-long,Luke,FALSE,O,?,6.3,phaw_2
26,206,LCreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,6.3,phaw_2
27,207,LDun,F,O,,18,,,regen-long,Luke,FALSE,O,?,7,phaw_2
28,208,LDreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,7,phaw_2
29,209,LEun,F,M,,18,,,regen-long,Luke,FALSE,M,?,6.1,phaw_2
30,210,LEreg,F,M,R-A,18,,,regen-long,Luke,FALSE,MR-A,?,6.1,phaw_2
31,211,LFun,F,O,,18,,,regen-long,Luke,FALSE,O,?,7.1,phaw_2
32,212,LFreg,F,O,R-A,18,,,regen-long,Luke,FALSE,OR-A,?,7.1,phaw_2
33,213,LGun,F,M,,18,,,regen-long,Luke,FALSE,M,?,6.6,phaw_2
34,214,LGreg,F,M,R-A,18,,,regen-long,Luke,FALSE,MR-A,?,6.6,phaw_2
35,215,BAun,F,M,,18,,,regen,Luke,FALSE,M,?,6.9,phaw_2
36,216,BAreg,F,M,R,18,,,regen,Luke,FALSE,MR,?,6.9,phaw_2
37,217,BBun,F,M,,19,,,regen,Luke,FALSE,M,?,6.9,phaw_2
38,218,BBreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.9,phaw_2
39,219,BCun,F,M,,19,,,regen,Luke,FALSE,M,?,6.8,phaw_2
40,220,BCreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.8,phaw_2
41,221,BDun,F,M,,19,,,regen,Luke,FALSE,M,?,6.6,phaw_2
42,222,BDreg,F,M,R,19,,,regen,Luke,FALSE,MR,?,6.6,phaw_2
43,223,BEun,F,O,,19,,,regen,Luke,FALSE,O,?,7.3,phaw_2
44,224,BEreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,7.3,phaw_2
45,225,BFun,F,O,,19,,,regen,Luke,FALSE,O,?,7.7,phaw_2
46,226,BFreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,7.7,phaw_2
47,227,BGun,F,O,,19,,,regen,Luke,FALSE,O,?,8.2,phaw_2
48,228,BGreg,F,O,R,19,,,regen,Luke,FALSE,OR,?,8.2,phaw_2
49,229,BHun,F,O,,20,,,regen,Luke,FALSE,O,?,8.8,phaw_2
50,230,BHreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,8.8,phaw_2
51,231,BIun,F,O,,20,,,regen,Luke,FALSE,O,?,6.7,phaw_2
52,232,BIreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,6.7,phaw_2
53,233,BJun,F,O,,20,,,regen,Luke,FALSE,O,?,7.8,phaw_2
54,234,BJreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.8,phaw_2
55,235,BKun,F,O,,20,,,regen,Luke,FALSE,O,?,7.3,phaw_2
56,236,BKreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.3,phaw_2
57,237,BLun,F,M,,20,,,regen,Luke,FALSE,M,?,6.5,phaw_2
58,238,BLreg,F,M,R,20,,,regen,Luke,FALSE,MR,?,6.5,phaw_2
59,239,BMun,F,O,,20,,,regen,Luke,FALSE,O,?,7.4,phaw_2
60,240,BMreg,F,O,R,20,,,regen,Luke,FALSE,OR,?,7.4,phaw_2
61,241,BNun,F,O,,21,,,regen,Luke,FALSE,O,?,7.5,phaw_2
62,242,BNreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.5,phaw_2
63,243,BOun,F,O,,21,,,regen,Luke,FALSE,O,?,7.3,phaw_2
64,244,BOreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.3,phaw_2
65,245,BPun,F,O,,21,,,regen,Luke,FALSE,O,?,8.2,phaw_2
66,246,BPreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,8.2,phaw_2
67,247,BQun,F,M,,21,,,regen,Luke,FALSE,M,?,6.6,phaw_2
68,248,BQreg,F,M,R,21,,,regen,Luke,FALSE,MR,?,6.6,phaw_2
69,249,BRun,F,O,,21,,,regen,Luke,FALSE,O,?,7.2,phaw_2
70,250,BRreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
71,251,BSun,F,M,,21,,,regen,Luke,FALSE,M,?,6.3,phaw_2
72,252,BSreg,F,M,R,21,,,regen,Luke,FALSE,MR,?,6.3,phaw_2
73,253,BTun,F,O,,22,,,regen,Luke,FALSE,O,?,7.2,phaw_2
74,254,BTreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
75,255,BUun,F,O,,22,,,regen,Luke,FALSE,O,?,7.2,phaw_2
76,256,BUreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
77,257,BVun,F,M,,22,,,regen,Luke,FALSE,M,?,6.9,phaw_2
78,258,BVreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.9,phaw_2
79,259,BWun,F,M,,22,,,regen,Luke,FALSE,M,?,6.2,phaw_2
80,260,BWreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.2,phaw_2
81,261,BXun,F,M,,22,,,regen,Luke,FALSE,M,?,6.5,phaw_2
82,262,BXreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.5,phaw_2
83,263,BYun,F,O,,22,,,regen,Luke,FALSE,O,?,7.5,phaw_2
84,264,BYreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.5,phaw_2
85,265,BZun,F,M,,23,,,regen,Luke,FALSE,M,?,6.3,phaw_2
86,266,BZreg,F,M,R,23,,,regen,Luke,FALSE,MR,?,6.3,phaw_2
87,267,CAun,F,O,,23,,,regen,Luke,FALSE,O,?,7.6,phaw_2
88,268,CAreg,F,O,R,23,,,regen,Luke,FALSE,OR,?,7.6,phaw_2
89,269,CBun,F,O,,23,,,regen,Luke,FALSE,O,?,7.1,phaw_2
90,270,CBreg,F,O,R,23,,,regen,Luke,FALSE,OR,?,7.1,phaw_2
91,271,CCun,F,M,,23,,,regen,Luke,FALSE,M,?,6.2,phaw_2
92,272,CCreg,F,M,R,23,,,regen,Luke,FALSE,MR,?,6.2,phaw_2
